z1,z2,z3,z4,z5,z6,shape
0.31830988618378864,0.002587136377060238,0.6181736244712797,0.012758816797420221,0.0022957060005336623,0.0012244608529236162,circle
0.3183098861837755,0.003542802324432192,0.6188934057484108,0.013177109146276022,0.0029587424228276144,0.0017939530398747806,circle
0.3183098861838227,0.004297125858400747,0.6194485551678323,0.014021848389286223,0.002932799433404146,0.0014814009458427111,circle
0.318309886183823,0.0033255091084862243,0.619368018070342,0.013790562949224013,0.002774535544192865,0.0025164853356444902,circle
0.3183098861837755,0.002569938658170808,0.6187127089302672,0.014340113800044055,0.00230665910729549,0.0031913493051951075,circle
0.31830988618376543,0.002138031095665278,0.6193215795228497,0.01321199098622779,0.002369489431635073,0.0024991649288979966,circle
0.3183098861837654,0.0032816965870270205,0.6182331038596692,0.011860381837289458,0.002687110416376908,0.00440720480525817,circle
0.31830988618377165,0.005971871875485173,0.6210594925652712,0.016008577007842483,0.0027857906479858523,0.003793836699132654,circle
0.31830988618376616,0.0048605921037663475,0.6224288383893652,0.014802526864393602,0.0027742153549181283,0.004211514907272796,circle
0.3183098861837748,0.005752819645422191,0.6216780232249766,0.014303618401757864,0.002821996287234244,0.0020104894873303886,circle
0.31830988618382877,0.006223316447912877,0.6215384231956326,0.014681703694287248,0.003001017161924255,0.0033598205562844576,circle
0.3183098861837896,0.0033189905691719222,0.6180946500162516,0.012918889569434067,0.002900990728633913,0.0023830156804396613,circle
0.3183098861838145,0.008253000320253123,0.6205358287446795,0.015214189495377815,0.0023316441397089774,0.005187602823553592,circle
0.3183098861837811,0.003895611993349697,0.6177318423049759,0.0108398516504827,0.0026077533587148052,0.003495006687920842,circle
0.3183098861837811,0.004890193303464716,0.617749870688039,0.013525432142679221,0.0027178388996368257,0.002732467097363377,circle
0.31830988618378225,0.005070343359009611,0.6164472591580643,0.012172105588777751,0.0033284910638545864,0.0011751918676217983,circle
0.3183098861838038,0.011645527924533747,0.6219496205469617,0.011113135308966826,0.0012225535898352212,0.0021323426143927374,circle
0.31830988618382183,0.010530780243668074,0.6179107917371266,0.01624045648843691,0.002087938272416504,0.0006251912260396349,circle
