hu1,hu2,hu3,hu4,hu5,hu6,hu7,shape
0.0010144608288029254,1.126571846043353e-12,2.7805642775245035e-18,6.68336478452122e-16,-1.6101177000807682e-32,-5.71503859286699e-22,2.389203229354409e-32,circle
0.0010149447672261286,1.2286308887891354e-12,6.183102125795849e-18,1.1979315223684965e-15,-7.528901026993525e-32,-1.209739977419365e-21,7.043301413990815e-32,circle
0.0010152667034181086,1.4651976493389986e-12,3.7747813013557975e-18,1.5665244790197538e-15,3.143108520095634e-34,-1.8937876329021727e-21,1.2046203560869376e-31,circle
0.001015319994102662,1.3396636105919724e-12,1.42664554618704e-17,1.0443215538522848e-15,-5.508692700291416e-32,-1.0981925789426664e-21,1.1495276226014994e-31,circle
0.0010148893368951864,1.4156986481204164e-12,1.908577439970637e-17,6.57566098730284e-16,-4.534811306007688e-32,-7.115780770870037e-22,5.805300499049771e-32,circle
0.0010153238420906132,1.1653461289895216e-12,1.239045632733055e-17,5.077994721296679e-16,3.5710256469767255e-32,-4.322471809441959e-22,1.8633313355431337e-32,circle
0.0010144096276442061,1.004769502309881e-12,3.626416801030681e-17,1.0125273146616994e-15,-9.446172807769905e-32,-1.0137097477439812e-21,1.6947322019771123e-31,circle
0.0010165512855931174,1.5705462007926626e-12,2.4149135830504993e-17,2.3690967324679198e-15,7.565538065308422e-32,3.7631282668619716e-22,5.615900756015601e-31,circle
0.0010174194189760408,1.363539066087227e-12,2.932528522904449e-17,1.6840288567519414e-15,-3.6055760143872695e-32,6.2516204550845e-22,3.7249492802391936e-31,circle
0.001016828271070452,1.2310545117950116e-12,7.888853076388601e-18,2.278341874468087e-15,1.882774099485332e-31,3.915611683551875e-22,2.405186738951111e-31,circle
0.001016825660677757,1.3077657805730956e-12,2.0049637635662056e-17,2.6238905349781963e-15,1.126603882808748e-31,6.600907354389626e-22,5.911883380017918e-31,circle
0.0010143024010020422,1.186883183702638e-12,1.1296714556600424e-17,1.0454914413732543e-15,7.449798883451502e-32,-9.784667573497065e-22,8.578854169919011e-32,circle
0.0010161231056501612,1.385769661235073e-12,3.0429096160225366e-17,3.875660956776321e-15,-2.629024311403856e-31,1.292302669019744e-21,1.3047306481733936e-30,circle
0.0010138755820793856,9.065691306946446e-13,1.6745980207633553e-17,1.2620832432247143e-15,-6.835896763621292e-32,-1.133206816363732e-21,1.7026960420362559e-31,circle
0.0010139242850852957,1.3548300852994308e-12,1.802849650884628e-17,1.8030015708396596e-15,1.6823185436936528e-31,-1.317328175818962e-21,2.7814941781839245e-31,circle
0.0010130146206801232,1.0296478583610895e-12,5.403090812253588e-18,2.023059745487277e-15,1.7098100522275163e-31,5.095454378518595e-22,1.2450965429790654e-31,circle
0.001017255104509388,1.028267966097447e-12,6.8763766153369515e-18,7.08841292035641e-15,4.927345723908702e-31,-6.547554088651535e-21,1.4853664714656513e-30,circle
0.001014341638006728,1.5610969327896684e-12,3.69911306777065e-18,5.868546209224808e-15,8.042883602073912e-31,4.7067850424533744e-21,-3.174184766667076e-31,circle
0.0010175730873934826,1.360096796122396e-12,5.779110507510366e-19,8.507159845803137e-15,-5.240645916464699e-31,-9.188082163370979e-21,2.848921579717887e-31,circle
0.0010158051186557333,1.1691774035342984e-12,1.78480992801198e-18,4.90034507505061e-15,3.226207356286374e-32,1.9455390174979418e-21,-4.571483651444599e-31,circle
0.0010176270626921736,1.30300072400253e-12,2.1769160290528356e-18,9.434884924263452e-15,-1.2984306194634343e-30,-9.609210333710214e-21,3.773525355535991e-31,circle
0.001013124315299893,9.808168337961973e-13,2.9764379267698624e-17,1.4624395664553117e-15,9.592452300777234e-32,-7.31345444368848e-22,2.8964529827714037e-31,circle
0.0010126397990462205,8.040765041523398e-13,4.26382218130531e-17,3.060012987280341e-15,-3.8316924456777096e-31,-1.389923129075955e-21,1.0367706988643384e-30,circle
0.0010133395575341406,6.980899715086721e-13,4.0908129907352144e-17,2.270071272285615e-15,-2.293663519752183e-31,-1.018512386651559e-21,6.526422760820924e-31,circle
0.001013877937938922,7.763951841359044e-13,2.1469778709565868e-17,2.0805198135096092e-15,5.046910707957843e-32,-4.1243049740511823e-22,4.368093476790417e-31,circle
0.0010138772454204574,7.931608279004214e-13,2.0882583982741506e-17,2.624939553586784e-15,1.516458224757724e-31,-4.237571433381333e-22,5.955664081654882e-31,circle
0.001013983660857933,1.0786409369569685e-12,4.9554585243270417e-17,1.0691842823000687e-15,2.153065454319144e-31,-2.9218298273260976e-23,1.1920929385608344e-31,circle
0.0010136641350313928,8.507488438056427e-13,3.144525504835103e-17,5.842965397039132e-16,-7.228099299756622e-32,-5.387628936893042e-22,3.2375391217046214e-32,circle
0.0010139333008567788,9.25645058954061e-13,3.3119390347307534e-17,2.439265163655011e-16,-1.3275278684092892e-32,-2.119638639016154e-22,1.7448514330141866e-32,circle
0.0010146227324306302,8.868561155467734e-13,5.036134203906458e-17,4.038849054069326e-15,-1.1403661305261246e-30,3.108112913386614e-21,-1.4203934558203037e-30,circle
0.0010144090159518388,8.578295674036727e-13,1.356746307935733e-17,3.346859443757829e-15,-3.669887391690481e-31,2.586954872689737e-21,-6.1152262484893e-31,circle
0.001014408275768111,1.0123683813215395e-12,1.524544971635441e-17,4.825943051133233e-15,9.988912260493252e-31,4.619608176525542e-21,-8.46006505586817e-31,circle
0.0010133335057621097,8.948624503710648e-13,3.253678801163865e-17,2.5042076665939267e-15,-5.860237258240685e-31,1.7922408030465016e-21,-4.09310123742713e-31,circle
0.0010162288781774963,5.411801136361496e-13,1.7125285866278327e-17,1.1916604727827665e-14,2.2646362639460657e-31,7.959543682962912e-21,-5.3785237227380236e-30,circle
0.001014338468384376,5.121726870682015e-13,2.931157615427015e-17,1.3616239660025112e-14,2.8875118725367114e-30,8.527344740903789e-21,-8.103005569438534e-30,circle
0.0010142519318388369,6.21196062248841e-13,4.1528862564721595e-17,2.47161907028804e-15,-7.372327514724581e-31,1.283528501691488e-21,-2.890103935423206e-31,circle
0.0010145540709761672,6.788690192104466e-13,2.759436749575297e-17,1.4655498094964345e-14,2.661959128995027e-30,1.0965316322454321e-20,-8.931654235022547e-30,circle
0.001013533622630188,5.587480309062506e-13,2.2940137098113003e-17,1.589690353389274e-14,5.740287060055539e-30,1.1691217560723987e-20,-7.69462334884869e-30,circle
0.0010119392147264496,7.608220184372756e-13,2.5931760097446306e-17,4.921902537566963e-15,-1.5539704083264589e-30,2.2966344768538028e-21,-8.228704215980687e-31,circle
0.001013173682579876,9.050239534144384e-13,2.5673520060864302e-17,4.348642726458086e-15,-6.330124569514941e-31,3.2681525814334547e-21,-1.3078910407053954e-30,circle
0.0010155915118715904,7.108807567109776e-13,6.600725025321411e-18,6.173246998974389e-15,6.33722210804834e-31,-4.990709953559417e-21,-1.0729665567298782e-30,circle
0.001013384837662894,8.994716509886841e-13,4.1193193226360937e-17,5.293057972365754e-15,1.5570707836210941e-30,5.002190877885565e-21,-1.9194225545330433e-30,circle
0.0010127423209034228,1.031128455625605e-12,7.272597679604881e-17,3.809507092800856e-15,-4.677891971248273e-31,3.624833644718974e-21,-1.9498256482247728e-30,circle
0.001012796751316135,7.693651734493492e-13,7.57449170030043e-17,4.14997993178927e-15,1.3165895334199343e-31,3.2100121538538466e-21,-2.32300069731547e-30,circle
0.0010121544010826323,6.59253467415684e-13,5.5320718989986394e-17,4.375043427847535e-15,-1.6611619958661175e-30,2.579505189332771e-21,-1.3686667792482947e-30,circle
0.001013975192991365,1.0327264608300788e-12,3.8560780986990963e-17,2.8831059055843826e-15,-2.052907139903915e-31,2.714574524610749e-21,-9.391347630711693e-31,circle
0.0010137596992073443,8.947892723390564e-13,3.242886102907142e-17,3.0237547301249266e-15,-5.341866404220844e-31,2.625538773259195e-21,-7.817852372152034e-31,circle
0.0010136458715840559,1.3084365640205097e-12,2.2983881338403396e-17,4.49550345594585e-15,-1.2062577958924292e-30,4.136007288609705e-21,-7.956608543644195e-31,circle
0.0010138648038599527,9.549796258837876e-13,4.007815152101646e-17,5.398495770668259e-15,-2.3811400621138213e-30,4.153565190562702e-21,-7.973491339612548e-31,circle
0.0010151591304654677,1.0119345290661928e-12,4.936199460929512e-17,3.979698961931543e-15,-1.517203361571621e-30,3.332191145290672e-21,-8.996691272291446e-31,circle
0.0010153747174812767,1.132818153395054e-12,3.3368604998164804e-18,3.246517337649268e-15,-4.3298151419255955e-32,3.215116726005577e-21,-3.351202522046779e-31,circle
0.001014343901847779,1.601232234275685e-12,1.253112936662111e-17,6.3116314640483775e-15,-1.0735700925179269e-30,7.387905015434306e-21,-1.4135790448975905e-30,circle
0.0010144588530895643,1.0337477211179685e-12,1.7303509631940362e-17,4.634993750650975e-15,-5.317608866832469e-31,4.586073375518984e-21,-1.2000899962284016e-30,circle
0.001013761838603781,9.69942942163452e-13,1.6859300478549385e-17,3.592253712300863e-15,-4.154438472671879e-31,3.430476026760379e-21,-7.803379010052035e-31,circle
0.0010129472212841567,1.1624665990003523e-12,2.5300104016142277e-17,5.551302868903894e-15,-4.786536793395103e-31,5.9797619106659125e-21,-2.0246205057398458e-30,circle
0.0010124173483742958,1.2247629515319815e-12,6.688110613410146e-17,4.8951002549615156e-15,-2.5355367475565722e-30,4.325440730655667e-21,-1.189944534429996e-30,circle
0.0010125713813694196,1.3670755641502856e-12,5.149014225735039e-17,5.7053064047227796e-15,-2.7962487648916847e-30,6.1900358707681165e-21,-1.3203268716042197e-30,circle
0.0010124159398680866,1.0754027783742166e-12,2.7663262897526794e-17,6.507343717900473e-15,-1.609496705249187e-30,6.2441944218873826e-21,-2.2432838532393847e-30,circle
